id,name
1001,Cloth Cap
1002,Cloth Veil
1003,Cloth Choker
1004,Cloth Shirt
1005,Cloth Shawl
1006,Cloth Cape
1007,Cloth Cord
1008,Cloth Sleeves
1009,Cloth Wristband
1010,Cloth Gloves
1011,Cloth Pants
1012,Cloth Sandals
1013,Small Cloth Cap
1014,Small Cloth Veil
1015,Small Cloth Choker
1016,Small Cloth Shirt
1017,Small Cloth Shawl
1018,Small Cloth Cape
1019,Small Cloth Cord
1020,Small Cloth Sleeves
1021,Small Cloth Wristband
1022,Small Cloth Gloves
1023,Small Cloth Pants
1024,Small Cloth Sandals
1025,Large Cloth Cap
1026,Large Cloth Veil
1027,Large Cloth Choker
1028,Large Cloth Shirt
1029,Large Cloth Shawl
1030,Large Cloth Cape
1031,Large Cloth Cord
1032,Large Cloth Sleeves
1033,Large Cloth Wristband
1034,Large Cloth Gloves
1035,Large Cloth Pants
1036,Large Cloth Sandals
1037,Fur Lined Shoes
1038,Tattered Cloth Sandal
1039,Large Cloth Kilt
1040,Iron Torque
1041,Worthless Coin
1042,Large Iron Torque
1043,Small Iron Torque
1044,Velium Round Shield
1048,Black Leather Cloak
1049,Brown Leather Gloves
1050,Rat Fur Cap
1051,Rat Pelt Cape
1052,Snake Fang Necklace
1053,Rat's Foot Necklace
1054,Used Merchants Gloves
1055,Shawl of the Wind Spirit
1058,Alliance Robe Yellow
1059,Alliance Robe Blue
1060,Teir`Dal Robe Red
1061,Fishbone Necklace
1063,Kerran Tribal Headband
1064,Trakanasaur Hide Tunic
1065,Trakanasaur Hide Leggings
1066,Trakanasaur Hide Sleeves
1067,Trakanasaur Hide Gloves
1069,Fiery Jewel of the Underfoot
1070,Speckled Granite Pebble
1071,Living Heart of a Brell Minion
1072,Blood Flecked Obsidian Shard
1073,Dulled Silver Paineel Earring
1074,Ruined Heretic Longsword
1075,Cracked Paineel Shield
1079,Crumpled Lotto Ticket
1080,Mithril Studded Skullcap
1081,Mithril Studded Mask
1082,Mithril Studded Gorget
1083,Mithril Studded Tunic
1084,Mithril Studded Shoulderpads
1085,Mithril Studded Cloak
1086,Mithril Studded Belt
1087,Mithril Studded Sleeves
1088,Mithril Studded Wristbands
1089,Mithril Studded Gloves
1090,Mithril Studded Leggings
1091,Mithril Studded Boots
1098,Phase Spider Carapace
1099,Mithril Boots
1100,Mithril Gauntlets
1101,Netted Cap
1102,Netted Mask
1103,Netted Choker
1104,Netted Shirt
1105,Netted Mantle
1106,Netted Cape
1107,Netted Girth
1108,Netted Sleeves
1109,Netted Wristband
1110,Netted Gloves
1111,Netted Pants
1112,Mithril Helm
1114,Shawl of Perception
1115,Blood of Dragonkind
1117,Velketor's Spell Book
1121,Woven Cap
1122,Woven Mask
1123,Woven Collar
1124,Woven Tunic
1125,Woven Mantle
1126,Woven Cape
1127,Woven Girth
1128,Woven Sleeves
1129,Woven Wristbands
1130,Woven Gloves
1131,Woven Leggings
1132,Tinker Wrench
1133,Shield of the Clawed Guardian
1134,Writ of Dragonkind
1135,Mask of Tinkering
1141,Mesh Helm
1142,Mesh Mask
1143,Mesh Gorget
1144,Mesh Tunic
1145,Mesh Mantle
1146,Mesh Cape
1147,Mesh Girth
1148,Mesh Armbands
1149,Mesh Bracers
1150,Mesh Gauntlets
1151,Mesh Leggings
1154,Sceptre of Destruction
1157,Dragon Scaled Mask
1158,Salindrite Dagger
1160,Raw Silk Headband
1161,Raw Silk Mask
1162,Raw Silk Collar
1163,Raw Silk Robe
1164,Raw Silk Mantle
1165,Raw Silk Cloak
1166,Raw Silk Sash
1167,Raw Silk Sleeves
1168,Raw Silk Wristbands
1169,Raw Silk Gloves
1170,Raw Silk Leggings
1171,Raw Silk Sandals
1180,Cured Silk Headband
1181,Cured Silk Mask
1182,Cured Silk Collar
1183,Cured Silk Gi
1184,Cured Silk Mantle
1185,Cured Silk Cloak
1186,Cured Silk Sash
1187,Cured Silk Sleeves
1188,Cured Silk Wristbands
1189,Cured Silk Handwraps
1190,Cured Silk Leggings
1191,Cured Silk Sandals
1192,Wu's Fighting Gauntlets
1193,Burynai Legion Gi
1194,Mountain Death Belt
1195,Woven Cord of Mistletoe
1196,Woven Vine Wristband
1197,Maple Leaf Mask
1210,Gnoll Fur Patch
1256,Tattered Tomb Shroud
1257,Tattered Arm Wrappings
1258,Tattered Leg Wrappings
1259,Worm-eaten Gloves
1260,Grave Sandals
1261,Conical Hat
1262,Elliptical Veil
1263,Robe of the Foci
1265,Axis Sash
1268,Robe of Living Fungus
1284,Ruined Scaled Coif
1285,Ruined Scaled Visor
1286,Ruined Scaled Neckguard
1287,Ruined Scaled Coat
1288,Ruined Scaled Mantle
1289,Ruined Scaled Cape
1290,Ruined Scaled Skirt
1291,Ruined Scaled Sleeves
1292,Ruined Scaled Bracelet
1293,Ruined Scaled Gloves
1294,Ruined Scaled Pants
1295,Ruined Scaled Boots
1296,Iksar Skin Gloves
1297,Triumvirate Missionary Robe
1298,Plasmatic Priest Robe
1299,Blood Soaked Plasmatic Priest Robe
1300,Cloak of Defense
1301,Veil of Comeliness
1302,Savant's Cap
1303,Magical Woven Eyepatch
1304,Gossamer Cap
1305,Gossamer Veil
1306,Gossamer Collar
1307,Gossamer Robe
1308,Gossamer Amice
1309,Gossamer Cape
1310,Gossamer Sash
1311,Gossamer Sleeves
1312,Gossamer Wristbands
1313,Gossamer Gloves
1314,Gossamer Leggings
1315,Soft Leather Boots
1316,Velvet Choker
1317,Serpentskin Eyepatch
1318,Bone Fingered Gloves
1320,Flowing Black Robe
1321,Hollowed Bone Bracers
1322,Thaumaturgist's Robe
1326,Cloak of the Cave Bear
1329,Gnoll Fur Patch Quarter
1330,Patched Gnoll Fur Bundle
1331,Damask Cap
1332,Damask Veil
1333,Damask Collar
1334,Damask Robe
1335,Damask Amice
1336,Damask Cape
1337,Damask Sash
1338,Damask Sleeves
1339,Damask Wristbands
1340,Damask Gloves
1341,Damask Leggings
1342,Soft Leather Shoes
1343,Festering Cloak
1344,Robe of the Seeker
1345,Robe of the Keeper
1346,Robe of the Initiate
1348,Summoned: Muzzle of Mardu
1349,Fang of the Wolf
1350,Robe of the Elementalist
1351,Robe of the Evoker
1354,Robe of the Oracle
1355,Robe of Enshroudment
1356,Robe of the Elements
1357,Robe of the Ishva
1358,Advisor Robe
1359,Dagger of the White Rose
1360,Shining Metallic Robes
1361,Azure Sleeves
1362,Embroidered Black Sleeves
1363,Shimmering White Shroud
1364,Braided Cinch Cord
1365,Flowing Black Silk Sash
1366,Silversilk Leggings
1367,Braided Ivy Cords
1368,Wolf Fur Slippers
1397,Werewolf Spleen
1398,Werewolf Heart
1400,Moss Mask
1401,Embroidered Black Cape
1402,Gilded Cloth
1403,Shiny Silk Gloves
1404,Dusty Bloodstained Gloves
1405,Fine Silk Turban
1406,Tattered Leather Boots
1407,Cape of Midnight Mist
